red,caso,origen,destino,algoritmo,costo,saltos,tiempo,error
1,1,8,41,Dijkstra,64.7,2,9.149575998890214,0.0
1,1,8,41,A*,64.7,2,19.657967997773085,0.0
1,1,8,41,PSO,64.7,2,13.949331699404866,0.0
1,2,33,41,Dijkstra,85.5,5,0.3830380010185763,0.0
1,2,33,41,A*,85.5,5,13.484328002959955,0.0
1,2,33,41,PSO,86.4,4,17.11719710001489,1.052631578947375
1,3,41,22,Dijkstra,54.7,2,0.4069049973622896,0.0
1,3,41,22,A*,54.7,2,14.320923997729551,0.0
1,3,41,22,PSO,54.699999999999996,2,17.876657999295276,-1.2989812353932362e-14
1,4,7,9,Dijkstra,38.6,2,0.3430339929764159,0.0
1,4,7,9,A*,38.6,2,14.334471998154186,0.0
1,4,7,9,PSO,38.599999999999994,2,15.439064098609379,-1.8407842895339382e-14
1,5,17,1,Dijkstra,58.0,3,0.3017389972228557,0.0
1,5,17,1,A*,58.0,3,12.459409001166932,0.0
1,5,17,1,PSO,58.0,3,14.362241901108064,0.0
1,6,13,43,Dijkstra,49.7,3,0.18404299771646038,0.0
1,6,13,43,A*,49.7,3,8.038001004024409,0.0
1,6,13,43,PSO,49.7,3,15.072546099690953,0.0
1,7,16,35,Dijkstra,53.1,3,0.11292599810985848,0.0
1,7,16,35,A*,53.1,3,9.910512999340426,0.0
1,7,16,35,PSO,53.1,3,11.462094101443654,0.0
1,8,20,23,Dijkstra,68.4,2,0.22762600565329194,0.0
1,8,20,23,A*,68.4,2,8.01812799909385,0.0
1,8,20,23,PSO,68.4,2,15.213574498920934,0.0
1,9,36,2,Dijkstra,67.6,2,0.31267899612430483,0.0
1,9,36,2,A*,67.6,2,8.671515999594703,0.0
1,9,36,2,PSO,67.6,2,14.771027101232903,0.0
1,10,47,44,Dijkstra,55.1,2,0.4165880018263124,0.0
1,10,47,44,A*,55.1,2,7.769130999804474,0.0
1,10,47,44,PSO,55.099999999999994,2,15.417077499296283,-1.2895512445736847e-14
1,11,38,41,Dijkstra,59.1,4,0.20818399934796616,0.0
1,11,38,41,A*,59.1,4,7.790881994878873,0.0
1,11,38,41,PSO,59.1,4,17.96645199865452,0.0
1,12,31,45,Dijkstra,36.8,2,0.2048759997705929,0.0
1,12,31,45,A*,36.8,2,13.245086003735196,0.0
1,12,31,45,PSO,36.8,2,19.02849180114572,0.0
1,13,41,29,Dijkstra,53.2,3,0.18367199663771316,0.0
1,13,41,29,A*,53.2,3,8.26759999472415,0.0
1,13,41,29,PSO,53.2,3,13.398859999870183,0.0
1,14,40,27,Dijkstra,54.4,4,0.17943299462785944,0.0
1,14,40,27,A*,54.4,4,7.99225799710257,0.0
1,14,40,27,PSO,54.400000000000006,4,16.116974500619108,1.3061447348531254e-14
1,15,23,34,Dijkstra,100.7,3,0.24933600070653483,0.0
1,15,23,34,A*,100.7,3,7.760297005006578,0.0
1,15,23,34,PSO,100.7,3,16.05229579945444,0.0
1,16,11,13,Dijkstra,60.6,3,0.15954900300130248,0.0
1,16,11,13,A*,60.6,3,7.763691006402951,0.0
1,16,11,13,PSO,60.6,3,16.885025300143752,0.0
1,17,24,37,Dijkstra,52.0,6,0.2074939984595403,0.0
1,17,24,37,A*,52.0,6,10.747930995421484,0.0
1,17,24,37,PSO,55.4,5,15.331288000015775,6.538461538461536
1,18,18,0,Dijkstra,17.0,1,0.32961199758574367,0.0
1,18,18,0,A*,17.0,1,10.846626995771658,0.0
1,18,18,0,PSO,17.0,1,4.343130200140877,0.0
1,19,8,9,Dijkstra,40.4,1,0.10369799565523863,0.0
1,19,8,9,A*,40.4,1,11.686493999150116,0.0
1,19,8,9,PSO,40.4,1,5.938490400149021,0.0
1,20,17,21,Dijkstra,49.9,2,0.37252699985401705,0.0
1,20,17,21,A*,49.9,2,7.722567999735475,0.0
1,20,17,21,PSO,49.9,2,14.101677099824883,0.0
2,1,8,37,Dijkstra,39.8,2,0.10168900189455599,0.0
2,1,8,37,A*,39.8,2,7.275381998624653,0.0
2,1,8,37,PSO,39.8,2,12.63510619974113,0.0
2,2,35,49,Dijkstra,88.6,3,0.4909330018563196,0.0
2,2,35,49,A*,88.6,3,10.837098001502454,0.0
2,2,35,49,PSO,88.6,3,17.70352029998321,0.0
2,3,6,20,Dijkstra,53.5,3,0.20141799905104563,0.0
2,3,6,20,A*,53.5,3,11.365518003003672,0.0
2,3,6,20,PSO,53.5,3,17.82346609979868,0.0
2,4,2,26,Dijkstra,65.3,2,0.16154899640241638,0.0
2,4,2,26,A*,65.3,2,9.491396995144896,0.0
2,4,2,26,PSO,65.3,2,18.076836801628815,0.0
2,5,4,24,Dijkstra,58.8,2,0.5629759980365634,0.0
2,5,4,24,A*,58.8,2,8.145801999489777,0.0
2,5,4,24,PSO,58.8,2,16.27873129909858,0.0
2,6,9,8,Dijkstra,62.1,2,0.1494940006523393,0.0
2,6,9,8,A*,62.1,2,10.572535000392236,0.0
2,6,9,8,PSO,62.099999999999994,2,16.25444380042609,-1.1441912009019325e-14
2,7,21,7,Dijkstra,60.8,2,0.44691399671137333,0.0
2,7,21,7,A*,60.8,2,9.56789799965918,0.0
2,7,21,7,PSO,60.8,2,16.370611900492804,0.0
2,8,39,37,Dijkstra,68.0,5,0.19285999587737024,0.0
2,8,39,37,A*,68.0,5,9.604291997675318,0.0
2,8,39,37,PSO,68.1,3,16.334026500408072,0.14705882352940342
2,9,24,4,Dijkstra,58.8,2,0.4416330048115924,0.0
2,9,24,4,A*,58.8,2,11.540732994035352,0.0
2,9,24,4,PSO,58.8,2,17.516480699850945,0.0
2,10,36,35,Dijkstra,94.9,3,0.4170820029685274,0.0
2,10,36,35,A*,94.9,3,9.351611995953135,0.0
2,10,36,35,PSO,94.89999999999999,3,19.600584200088633,-1.4974557128769235e-14
2,11,14,36,Dijkstra,52.0,2,0.3087270015385002,0.0
2,11,14,36,A*,52.0,2,11.476031999336556,0.0
2,11,14,36,PSO,52.0,2,18.76082309972844,0.0
2,12,5,17,Dijkstra,64.8,2,0.3911499952664599,0.0
2,12,5,17,A*,64.8,2,10.043002999736927,0.0
2,12,5,17,PSO,64.8,2,18.730006102123298,0.0
2,13,23,18,Dijkstra,45.6,2,0.3605349993449636,0.0
2,13,23,18,A*,45.6,2,9.498753999650944,0.0
2,13,23,18,PSO,45.6,2,18.035071199847152,0.0
2,14,36,34,Dijkstra,83.2,4,0.1771549941622652,0.0
2,14,36,34,A*,83.2,4,10.966551999445073,0.0
2,14,36,34,PSO,83.2,4,14.091491099679843,0.0
2,15,7,29,Dijkstra,86.5,3,0.21650300186593086,0.0
2,15,7,29,A*,86.5,3,7.330226006160956,0.0
2,15,7,29,PSO,86.5,3,13.672627900086809,0.0
2,16,17,6,Dijkstra,31.5,1,0.08349300333065912,0.0
2,16,17,6,A*,31.5,1,8.426169006270356,0.0
2,16,17,6,PSO,31.5,1,3.940858301211847,0.0
2,17,2,18,Dijkstra,73.7,2,0.38799899630248547,0.0
2,17,2,18,A*,73.7,2,13.737930996285286,0.0
2,17,2,18,PSO,73.7,2,16.826165901875356,0.0
2,18,0,39,Dijkstra,39.9,2,0.3221489969291724,0.0
2,18,0,39,A*,39.9,2,9.561241997289471,0.0
2,18,0,39,PSO,39.9,2,8.897405700554373,0.0
2,19,42,0,Dijkstra,53.8,3,0.2538129992899485,0.0
2,19,42,0,A*,53.8,3,9.333654998044949,0.0
2,19,42,0,PSO,53.800000000000004,3,13.464563299930887,1.3207114047585505e-14
2,20,5,26,Dijkstra,75.7,2,0.2873920020647347,0.0
2,20,5,26,A*,75.7,2,9.197781000693794,0.0
2,20,5,26,PSO,75.7,2,16.842403600458056,0.0
3,1,13,44,Dijkstra,11.4,1,0.10517700138734654,0.0
3,1,13,44,A*,11.4,1,7.783189001202118,0.0
3,1,13,44,PSO,11.4,1,4.302503300277749,0.0
3,2,6,1,Dijkstra,12.6,1,0.06783400021959096,0.0
3,2,6,1,A*,12.6,1,9.40373099729186,0.0
3,2,6,1,PSO,12.6,1,6.483716399088735,0.0
3,3,39,42,Dijkstra,62.7,4,0.15252400044118986,0.0
3,3,39,42,A*,62.7,4,9.012757000164129,0.0
3,3,39,42,PSO,62.699999999999996,4,16.366830599145032,-1.1332420028071772e-14
3,4,30,49,Dijkstra,93.2,4,0.20637600391637534,0.0
3,4,30,49,A*,93.2,4,10.590792997390963,0.0
3,4,30,49,PSO,93.2,4,14.108666600077413,0.0
3,5,2,46,Dijkstra,70.6,2,0.10666799789760262,0.0
3,5,2,46,A*,70.6,2,7.932471999083646,0.0
3,5,2,46,PSO,70.6,2,16.596203300287016,0.0
3,6,45,31,Dijkstra,84.9,4,0.3090579994022846,0.0
3,6,45,31,A*,84.9,4,9.470684002735652,0.0
3,6,45,31,PSO,84.9,4,17.239752499153838,0.0
3,7,18,22,Dijkstra,71.9,3,0.2715340015129186,0.0
3,7,18,22,A*,71.9,3,8.945073001086712,0.0
3,7,18,22,PSO,71.9,3,16.84526030003326,0.0
3,8,29,9,Dijkstra,47.5,2,0.17778400069801137,0.0
3,8,29,9,A*,47.5,2,8.480329997837543,0.0
3,8,29,9,PSO,47.5,2,17.70977429987397,0.0
3,9,23,17,Dijkstra,56.3,3,0.20729999960167333,0.0
3,9,23,17,A*,56.3,3,13.329604000318795,0.0
3,9,23,17,PSO,56.3,3,16.26851500113844,0.0
3,10,30,33,Dijkstra,85.2,3,0.1938499990501441,0.0
3,10,30,33,A*,85.2,3,8.753720998356584,0.0
3,10,30,33,PSO,85.2,3,17.214532200887334,0.0
3,11,30,46,Dijkstra,79.5,3,0.17455199849791825,0.0
3,11,30,46,A*,79.5,3,10.028593002061825,0.0
3,11,30,46,PSO,79.5,3,14.81891759831342,0.0
3,12,46,26,Dijkstra,60.3,4,0.12513300316641107,0.0
3,12,46,26,A*,60.3,4,8.012584003154188,0.0
3,12,46,26,PSO,60.300000000000004,4,16.408516701631015,1.1783461621228859e-14
3,13,31,43,Dijkstra,50.9,3,0.1087220007320866,0.0
3,13,31,43,A*,50.9,3,7.1773919989936985,0.0
3,13,31,43,PSO,50.9,3,9.733200300252065,0.0
3,14,18,25,Dijkstra,48.6,3,0.10712999937823042,0.0
3,14,18,25,A*,48.6,3,7.416419000946917,0.0
3,14,18,25,PSO,48.6,3,14.886780699453084,0.0
3,15,14,10,Dijkstra,29.5,2,0.33290999999735504,0.0
3,15,14,10,A*,29.5,2,8.320850000018254,0.0
3,15,14,10,PSO,29.5,2,15.354764999938197,0.0
